epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1278.72,1.00217,2.07565,1.46824,0.78819,0.70081,0.77936,0.50305,1.15069,1.16179,1.52361,0.00333142,0.00333142,0.00333142
2,2431.33,0.99192,1.38198,1.43895,0.80221,0.73081,0.78826,0.51272,1.15586,1.02437,1.52487,0.00633485,0.00633485,0.00633485
3,3564.7,1.03881,1.51394,1.47359,0.72597,0.6652,0.72313,0.4609,1.19432,1.31145,1.56237,0.00900827,0.00900827,0.00900827
4,4696.82,1.04426,1.51198,1.4771,0.83183,0.78593,0.83654,0.57419,1.05866,0.8576,1.40187,0.008515,0.008515,0.008515
5,5828.29,0.97382,1.29399,1.41709,0.86672,0.85111,0.89385,0.64416,0.95422,0.68742,1.28027,0.00802,0.00802,0.00802
6,6958.71,0.92151,1.15034,1.37888,0.88856,0.86172,0.90685,0.67039,0.90137,0.61716,1.22822,0.007525,0.007525,0.007525
7,8090.01,0.89778,1.06685,1.36065,0.89464,0.87859,0.92074,0.69313,0.87018,0.56589,1.19049,0.00703,0.00703,0.00703
8,9220.16,0.86792,1.00483,1.3375,0.89678,0.89128,0.92816,0.70899,0.83254,0.53142,1.155,0.006535,0.006535,0.006535
9,10351,0.85124,0.95557,1.32422,0.91124,0.89491,0.93768,0.72478,0.80524,0.49773,1.12366,0.00604,0.00604,0.00604
10,11483.3,0.83211,0.91387,1.31232,0.91449,0.90229,0.9419,0.73653,0.78667,0.46962,1.10458,0.005545,0.005545,0.005545
11,12612.8,0.87278,0.63264,1.39277,0.91477,0.91124,0.94511,0.74339,0.78033,0.46042,1.08998,0.00505,0.00505,0.00505
12,13741.3,0.83956,0.5874,1.36063,0.92547,0.91749,0.95095,0.7565,0.75382,0.43271,1.06304,0.004555,0.004555,0.004555
13,14868.9,0.81807,0.55353,1.3379,0.92578,0.92364,0.95474,0.76374,0.73842,0.41834,1.04669,0.00406,0.00406,0.00406
14,15997.5,0.79661,0.53306,1.31781,0.93371,0.92335,0.95786,0.77333,0.72235,0.40746,1.02977,0.003565,0.003565,0.003565
15,17127.3,0.77062,0.49126,1.29548,0.93037,0.92989,0.95949,0.77828,0.70966,0.39652,1.01701,0.00307,0.00307,0.00307
16,18256.2,0.74457,0.46939,1.27069,0.9411,0.92746,0.96144,0.78359,0.69824,0.38787,1.0049,0.002575,0.002575,0.002575
17,19385.5,0.70676,0.43473,1.24462,0.94553,0.92733,0.96356,0.7883,0.68851,0.38037,0.99471,0.00208,0.00208,0.00208
18,20514.4,0.67859,0.41075,1.22212,0.94311,0.93297,0.96499,0.79263,0.68068,0.37382,0.98694,0.001585,0.001585,0.001585
19,21642.5,0.65659,0.38833,1.2046,0.94662,0.93325,0.96606,0.79565,0.67366,0.36772,0.9809,0.00109,0.00109,0.00109
20,22772.6,0.62589,0.36825,1.17705,0.9517,0.93232,0.96663,0.79798,0.66769,0.36306,0.97536,0.000595,0.000595,0.000595
